algorithm,dataset,run,seed,n_selected,n_total_features,subset_accuracy,all_features_accuracy,internal_fitness,n_evaluations
abc,iris,4,4,1,4,0.9333333333333332,0.9111111111111112,0.0025,2042
abc,iris,5,5,1,4,0.9333333333333332,0.9111111111111112,0.0391666666666667,2043
abc,iris,6,6,1,4,0.9333333333333332,0.9111111111111112,0.0025,2043
abc,iris,7,7,1,4,0.9333333333333332,0.9111111111111112,0.0025,2043
abc,iris,8,8,1,4,0.9333333333333332,0.9111111111111112,0.0025,2044
abc,iris,9,9,1,4,0.9333333333333332,0.9111111111111112,0.0025,2042
cuckoo,iris,0,0,3,4,0.9111111111111112,0.9111111111111112,0.0075,1210
cuckoo,iris,1,1,1,4,0.9333333333333332,0.9111111111111112,0.0025,1210
cuckoo,iris,2,2,1,4,0.9333333333333332,0.9111111111111112,0.0025,1210
cuckoo,iris,3,3,1,4,0.9333333333333332,0.9111111111111112,0.0025,1210
cuckoo,iris,4,4,1,4,0.9333333333333332,0.9111111111111112,0.0025,1210
cuckoo,iris,5,5,1,4,0.9333333333333332,0.9111111111111112,0.0391666666666667,1210
cuckoo,iris,6,6,1,4,0.9333333333333332,0.9111111111111112,0.0025,1210
cuckoo,iris,7,7,1,4,0.9333333333333332,0.9111111111111112,0.0025,1210
cuckoo,iris,8,8,1,4,0.9333333333333332,0.9111111111111112,0.0025,1210
cuckoo,iris,9,9,1,4,0.9333333333333332,0.9111111111111112,0.0025,1210
pso,wine,0,0,6,13,0.9629629629629628,0.9629629629629628,0.0046153846153846,1010
pso,wine,1,1,4,13,0.9444444444444444,0.9629629629629628,0.003076923076923,1010
pso,wine,2,2,7,13,0.9444444444444444,0.9629629629629628,0.0053846153846153,1010
pso,wine,3,3,5,13,0.9074074074074074,0.9629629629629628,0.0038461538461538,1010
pso,wine,4,4,5,13,0.9629629629629628,0.9629629629629628,0.0038461538461538,1010
pso,wine,5,5,6,13,0.9444444444444444,0.9629629629629628,0.0046153846153846,1010
pso,wine,6,6,4,13,0.9629629629629628,0.9629629629629628,0.003076923076923,1010
pso,wine,7,7,6,13,0.925925925925926,0.9629629629629628,0.0046153846153846,1010
pso,wine,8,8,6,13,0.9444444444444444,0.9629629629629628,0.0046153846153846,1010
pso,wine,9,9,4,13,0.8518518518518519,0.9629629629629628,0.003076923076923,1010
aco,wine,0,0,7,13,0.925925925925926,0.9629629629629628,0.0053846153846153,1000
aco,wine,1,1,5,13,0.8518518518518519,0.9629629629629628,0.0038461538461538,1000
aco,wine,2,2,7,13,0.9444444444444444,0.9629629629629628,0.0053846153846153,1000
aco,wine,3,3,7,13,0.9629629629629628,0.9629629629629628,0.0053846153846153,1000
aco,wine,4,4,5,13,0.8888888888888888,0.9629629629629628,0.0038461538461538,1000
aco,wine,5,5,5,13,0.925925925925926,0.9629629629629628,0.0357816377171215,1000
aco,wine,6,6,5,13,0.9444444444444444,0.9629629629629628,0.0038461538461538,1000
aco,wine,7,7,6,13,0.9444444444444444,0.9629629629629628,0.0046153846153846,1000
aco,wine,8,8,8,13,0.9629629629629628,0.9629629629629628,0.0061538461538461,1000
aco,wine,9,9,5,13,0.9629629629629628,0.9629629629629628,0.0038461538461538,1000
abc,wine,0,0,5,13,0.9629629629629628,0.9629629629629628,0.0038461538461538,2020
abc,wine,1,1,5,13,0.925925925925926,0.9629629629629628,0.0038461538461538,2016
abc,wine,2,2,6,13,0.9444444444444444,0.9629629629629628,0.0046153846153846,2017
abc,wine,3,3,5,13,0.9074074074074074,0.9629629629629628,0.0038461538461538,2015
abc,wine,4,4,5,13,0.9444444444444444,0.9629629629629628,0.0038461538461538,2015
abc,wine,5,5,5,13,0.925925925925926,0.9629629629629628,0.0038461538461538,2016
abc,wine,6,6,4,13,0.8518518518518519,0.9629629629629628,0.003076923076923,2016
abc,wine,7,7,4,13,0.9629629629629628,0.9629629629629628,0.003076923076923,2015
abc,wine,8,8,6,13,0.9814814814814816,0.9629629629629628,0.0046153846153846,2013
abc,wine,9,9,4,13,0.8518518518518519,0.9629629629629628,0.003076923076923,2017
cuckoo,wine,0,0,5,13,0.8518518518518519,0.9629629629629628,0.0038461538461538,1210
cuckoo,wine,1,1,5,13,0.9814814814814816,0.9629629629629628,0.0038461538461538,1210
cuckoo,wine,2,2,5,13,0.8703703703703703,0.9629629629629628,0.0038461538461538,1210
cuckoo,wine,3,3,6,13,0.8888888888888888,0.9629629629629628,0.0046153846153846,1210
cuckoo,wine,4,4,5,13,0.8888888888888888,0.9629629629629628,0.0038461538461538,1210
cuckoo,wine,5,5,6,13,0.9444444444444444,0.9629629629629628,0.0046153846153846,1210
cuckoo,wine,6,6,5,13,0.9444444444444444,0.9629629629629628,0.0038461538461538,1210
cuckoo,wine,7,7,5,13,0.9629629629629628,0.9629629629629628,0.0038461538461538,1210
cuckoo,wine,8,8,7,13,0.9629629629629628,0.9629629629629628,0.0053846153846153,1210
cuckoo,wine,9,9,5,13,0.925925925925926,0.9629629629629628,0.0038461538461538,1210
pso,breast_cancer,0,0,13,30,0.953216374269006,0.9824561403508772,0.0142333333333333,1010
pso,breast_cancer,1,1,11,30,0.9649122807017544,0.9824561403508772,0.0234666666666666,1010
pso,breast_cancer,2,2,15,30,0.953216374269006,0.9824561403508772,0.005,1010
pso,breast_cancer,3,3,13,30,0.9649122807017544,0.9824561403508772,0.0340333333333333,1010
pso,breast_cancer,4,4,12,30,0.9649122807017544,0.9824561403508772,0.0139,1010
pso,breast_cancer,5,5,16,30,0.95906432748538,0.9824561403508772,0.0152333333333333,1010
pso,breast_cancer,6,6,14,30,0.9707602339181286,0.9824561403508772,0.0046666666666666,1010
pso,breast_cancer,7,7,13,30,0.9707602339181286,0.9824561403508772,0.0043333333333333,1010
pso,breast_cancer,8,8,14,30,0.953216374269006,0.9824561403508772,0.0145666666666666,1010
pso,breast_cancer,9,9,12,30,0.9707602339181286,0.9824561403508772,0.0139,1010
aco,breast_cancer,0,0,7,30,0.953216374269006,0.9824561403508772,0.0122333333333333,1000
aco,breast_cancer,1,1,11,30,0.9766081871345028,0.9824561403508772,0.0234666666666666,1000
aco,breast_cancer,2,2,11,30,0.953216374269006,0.9824561403508772,0.0036666666666666,1000
aco,breast_cancer,3,3,9,30,0.95906432748538,0.9824561403508772,0.0327,1000
aco,breast_cancer,4,4,7,30,0.953216374269006,0.9824561403508772,0.0122333333333333,1000
aco,breast_cancer,5,5,10,30,0.95906432748538,0.9824561403508772,0.0033333333333333,1000
aco,breast_cancer,6,6,13,30,0.9707602339181286,0.9824561403508772,0.0043333333333333,1000
aco,breast_cancer,7,7,8,30,0.95906432748538,0.9824561403508772,0.0026666666666666,1000
aco,breast_cancer,8,8,15,30,0.9766081871345028,0.9824561403508772,0.0149,1000
aco,breast_cancer,9,9,13,30,0.9649122807017544,0.9824561403508772,0.0142333333333333,1000
abc,breast_cancer,0,0,13,30,0.953216374269006,0.9824561403508772,0.0142333333333333,2010
abc,breast_cancer,1,1,11,30,0.953216374269006,0.9824561403508772,0.0234666666666666,2010
abc,breast_cancer,2,2,13,30,0.9707602339181286,0.9824561403508772,0.0043333333333333,2010
abc,breast_cancer,3,3,11,30,0.953216374269006,0.9824561403508772,0.0333666666666667,2010
abc,breast_cancer,4,4,13,30,0.9649122807017544,0.9824561403508772,0.0142333333333333,2010
abc,breast_cancer,5,5,14,30,0.9649122807017544,0.9824561403508772,0.0046666666666666,2010
abc,breast_cancer,6,6,13,30,0.95906432748538,0.9824561403508772,0.0043333333333333,2010
abc,breast_cancer,7,7,12,30,0.953216374269006,0.9824561403508772,0.004,2010
abc,breast_cancer,8,8,18,30,0.9707602339181286,0.9824561403508772,0.0159,2010
abc,breast_cancer,9,9,12,30,0.95906432748538,0.9824561403508772,0.0139,2010
cuckoo,breast_cancer,0,0,11,30,0.9649122807017544,0.9824561403508772,0.0135666666666666,1210
cuckoo,breast_cancer,1,1,17,30,0.9473684210526316,0.9824561403508772,0.0155666666666666,1210
cuckoo,breast_cancer,2,2,13,30,0.9649122807017544,0.9824561403508772,0.0043333333333333,1210
cuckoo,breast_cancer,3,3,11,30,0.9649122807017544,0.9824561403508772,0.0333666666666667,1210
cuckoo,breast_cancer,4,4,11,30,0.95906432748538,0.9824561403508772,0.0135666666666666,1210
cuckoo,breast_cancer,5,5,14,30,0.9415204678362572,0.9824561403508772,0.0145666666666666,1210
cuckoo,breast_cancer,6,6,14,30,0.953216374269006,0.9824561403508772,0.0046666666666666,1210
cuckoo,breast_cancer,7,7,12,30,0.953216374269006,0.9824561403508772,0.004,1210
cuckoo,breast_cancer,8,8,14,30,0.9649122807017544,0.9824561403508772,0.0145666666666666,1210
cuckoo,breast_cancer,9,9,12,30,0.953216374269006,0.9824561403508772,0.0139,1210
pso,digits,0,0,40,64,0.9592592592592591,0.9796296296296296,0.0219642857142857,1010
pso,digits,1,1,45,64,0.9629629629629628,0.9796296296296296,0.0227455357142857,1010
pso,digits,2,2,46,64,0.9629629629629628,0.9796296296296296,0.0229017857142857,1010
pso,digits,3,3,39,64,0.9592592592592591,0.9796296296296296,0.0249508928571429,1010
pso,digits,4,4,43,64,0.9722222222222222,0.9796296296296296,0.0255758928571429,1010
pso,digits,5,5,42,64,0.9703703703703704,0.9796296296296296,0.0348482142857143,1010
pso,digits,6,6,45,64,0.9685185185185186,0.9796296296296296,0.0353169642857143,1010
pso,digits,7,7,43,64,0.9648148148148148,0.9796296296296296,0.0255758928571429,1010
pso,digits,8,8,43,64,0.9703703703703704,0.9796296296296296,0.0192901785714285,1010
pso,digits,9,9,44,64,0.9629629629629628,0.9796296296296296,0.028875,1010
aco,digits,0,0,37,64,0.9574074074074074,0.9796296296296296,0.0214955357142857,1000
aco,digits,1,1,41,64,0.9648148148148148,0.9796296296296296,0.0252633928571429,1000
aco,digits,2,2,36,64,0.974074074074074,0.9796296296296296,0.0181964285714285,1000
aco,digits,3,3,37,64,0.9444444444444444,0.9796296296296296,0.0309241071428571,1000
aco,digits,4,4,43,64,0.9685185185185186,0.9796296296296296,0.0161473214285714,1000
aco,digits,5,5,37,64,0.9648148148148148,0.9796296296296296,0.02778125,1000
aco,digits,6,6,41,64,0.9592592592592591,0.9796296296296296,0.0441205357142857,1000
aco,digits,7,7,37,64,0.9703703703703704,0.9796296296296296,0.0214955357142857,1000
aco,digits,8,8,35,64,0.9518518518518518,0.9796296296296296,0.0211830357142857,1000
aco,digits,9,9,40,64,0.9592592592592591,0.9796296296296296,0.02825,1000
cuckoo,digits,0,0,41,64,0.9629629629629628,0.9796296296296296,0.0221205357142857,1210
cuckoo,digits,1,1,42,64,0.9611111111111112,0.9796296296296296,0.0254196428571429,1210
cuckoo,digits,2,2,51,64,0.9722222222222222,0.9796296296296296,0.0268258928571429,1210
